ticket_id,category,priority,customer_segment,agent,status,created_date,resolved_date,resolution_time_hours,sla_status,created_month
TCK-1493,Technical,Low,Smb,Amit,Resolved,2026-05-24 18:00:00,,,Open,2026-05
TCK-1307,General Inquiry,Low,Smb,Sana,Resolved,2026-06-29 12:00:00,,,Open,2026-06
TCK-1569,General Inquiry,Medium,Enterprise,Amit,Resolved,2026-02-12 13:00:00,2026-02-22 09:00:00,236.0,Breached,2026-02
TCK-1529,Account Access,Low,Enterprise,Sana,Resolved,2026-07-23 22:00:00,,,Open,2026-07
TCK-1028,Billing,High,Smb,Vikram,Resolved,2026-05-11 02:00:00,2026-05-11 20:00:00,18.0,Within SLA,2026-05
TCK-1364,Bug Report,High,Individual,Unassigned,Open,2026-04-12 10:00:00,2026-04-12 23:00:00,13.0,Within SLA,2026-04
TCK-1286,Account Access,High,Smb,Neha,Resolved,2026-04-23 03:00:00,2026-04-25 16:00:00,61.0,Breached,2026-04
TCK-1949,General Inquiry,Low,Smb,Karan,Open,2026-02-19 22:00:00,2026-02-25 12:00:00,134.0,Within SLA,2026-02
TCK-1705,Feature Request,High,Smb,Neha,Resolved,2026-01-04 04:00:00,2026-01-08 04:00:00,96.0,Breached,2026-01
TCK-1129,Technical,Critical,Smb,Riya,Resolved,2026-03-31 17:00:00,2026-04-08 21:00:00,196.0,Breached,2026-03
TCK-1960,Bug Report,High,Enterprise,Arjun,Closed,2026-06-30 18:00:00,2026-07-09 15:00:00,213.0,Breached,2026-06
TCK-2025,Technical,High,Individual,Priya,Closed,2026-06-10 20:00:00,2026-06-13 01:00:00,53.0,Breached,2026-06
TCK-1317,Bug Report,High,Individual,Amit,Resolved,2026-02-27 16:00:00,2026-03-03 23:00:00,103.0,Breached,2026-02
TCK-1047,Account Access,Critical,Enterprise,Vikram,Resolved,2026-03-15 06:00:00,2026-03-21 11:00:00,149.0,Breached,2026-03
TCK-1523,General Inquiry,Critical,Smb,Arjun,Resolved,2026-07-29 08:00:00,2026-08-03 05:00:00,117.0,Breached,2026-07
TCK-1475,Billing,High,Smb,Neha,Resolved,2026-05-11 16:00:00,2026-05-18 06:00:00,158.0,Breached,2026-05
TCK-1410,Bug Report,High,Individual,Karan,Resolved,2026-07-29 07:00:00,2026-08-01 20:00:00,85.0,Breached,2026-07
TCK-1816,Billing,High,Individual,Arjun,Resolved,2026-07-18 09:00:00,2026-07-23 19:00:00,130.0,Breached,2026-07
TCK-1641,Feature Request,High,Smb,Priya,Resolved,2026-02-08 20:00:00,2026-02-18 19:00:00,239.0,Breached,2026-02
TCK-1633,Billing,Low,Enterprise,Karan,Pending,2026-03-22 17:00:00,,,Open,2026-03
TCK-1976,Bug Report,High,Individual,Arjun,Resolved,2026-07-20 09:00:00,2026-07-25 03:00:00,114.0,Breached,2026-07
TCK-1670,Technical,Low,Smb,Priya,Closed,2026-07-27 22:00:00,2026-08-01 18:00:00,116.0,Within SLA,2026-07
TCK-1722,Billing,High,Enterprise,Neha,Resolved,2026-05-11 08:00:00,2026-05-16 05:00:00,117.0,Breached,2026-05
TCK-1452,Technical,Low,Smb,Arjun,Pending,2026-07-14 15:00:00,2026-07-17 11:00:00,68.0,Within SLA,2026-07
TCK-2026,Technical,Critical,Enterprise,Amit,Closed,2026-04-25 07:00:00,2026-04-29 23:00:00,112.0,Breached,2026-04
TCK-1309,Billing,Medium,Enterprise,Karan,Pending,2026-06-28 13:00:00,2026-07-07 14:00:00,217.0,Breached,2026-06
TCK-1695,Feature Request,Medium,Smb,Neha,Closed,2026-07-26 23:00:00,2026-07-31 12:00:00,109.0,Breached,2026-07
TCK-2034,Technical,High,Enterprise,Karan,Pending,2026-04-20 12:00:00,2026-04-27 12:00:00,168.0,Breached,2026-04
TCK-1820,Technical,Critical,Enterprise,Priya,Resolved,2026-01-24 01:00:00,2026-01-25 11:00:00,34.0,Breached,2026-01
TCK-1603,Account Access,High,Enterprise,Arjun,Open,2026-03-01 07:00:00,2026-03-10 21:00:00,230.0,Breached,2026-03
TCK-2143,Feature Request,Critical,Enterprise,Karan,Open,2026-02-26 01:00:00,2026-03-01 20:00:00,91.0,Breached,2026-02
TCK-1736,Billing,Low,Individual,Amit,Pending,2026-04-13 07:00:00,2026-04-14 07:00:00,24.0,Within SLA,2026-04
TCK-1463,Billing,Medium,Enterprise,Riya,Resolved,2026-05-10 21:00:00,2026-05-12 12:00:00,39.0,Within SLA,2026-05
TCK-2084,Feature Request,High,Enterprise,Unassigned,Open,2026-02-20 15:00:00,2026-02-24 09:00:00,90.0,Breached,2026-02
TCK-1942,Billing,Medium,Smb,Priya,Resolved,2026-07-12 00:00:00,2026-07-20 11:00:00,203.0,Breached,2026-07
TCK-1240,Bug Report,High,Smb,Priya,Resolved,2026-05-08 14:00:00,,,Open,2026-05
TCK-1206,General Inquiry,Critical,Enterprise,Neha,Open,2026-07-23 23:00:00,2026-07-25 07:00:00,32.0,Breached,2026-07
TCK-1221,Billing,Low,Smb,Vikram,Resolved,2026-04-25 16:00:00,2026-04-26 12:00:00,20.0,Within SLA,2026-04
TCK-1954,General Inquiry,Critical,Smb,Karan,Open,2026-04-07 22:00:00,2026-04-15 16:00:00,186.0,Breached,2026-04
TCK-1102,Account Access,High,Smb,Amit,Open,2026-04-28 08:00:00,2026-05-07 23:00:00,231.0,Breached,2026-04
TCK-1751,Account Access,High,Enterprise,Vikram,Pending,2026-03-06 17:00:00,2026-03-13 13:00:00,164.0,Breached,2026-03
TCK-1061,Technical,Medium,Enterprise,Vikram,Pending,2026-03-05 06:00:00,2026-03-11 22:00:00,160.0,Breached,2026-03
TCK-1263,Bug Report,High,Enterprise,Neha,Open,2026-03-27 19:00:00,2026-04-06 00:00:00,221.0,Breached,2026-03
TCK-1907,Technical,Critical,Individual,Riya,Resolved,2026-01-20 21:00:00,2026-01-28 03:00:00,174.0,Breached,2026-01
TCK-1768,Technical,Low,Individual,Priya,Closed,2026-02-13 16:00:00,2026-02-17 07:00:00,87.0,Within SLA,2026-02
TCK-1688,General Inquiry,High,Individual,Sana,Resolved,2026-04-28 10:00:00,2026-05-06 08:00:00,190.0,Breached,2026-04
TCK-1205,Technical,High,Enterprise,Arjun,Resolved,2026-05-23 09:00:00,2026-05-26 14:00:00,77.0,Breached,2026-05
TCK-1970,Technical,Critical,Enterprise,Priya,Open,2026-06-27 23:00:00,,,Open,2026-06
TCK-1869,Technical,Critical,Smb,Amit,Open,2026-05-07 07:00:00,2026-05-14 03:00:00,164.0,Breached,2026-05
TCK-2136,General Inquiry,Critical,Smb,Arjun,Open,2026-06-13 03:00:00,2026-06-22 12:00:00,225.0,Breached,2026-06
TCK-1819,Bug Report,Low,Smb,Priya,Resolved,2026-03-25 16:00:00,2026-04-03 11:00:00,211.0,Breached,2026-03
TCK-2028,Technical,Low,Enterprise,Priya,Resolved,2026-02-15 12:00:00,2026-02-17 13:00:00,49.0,Within SLA,2026-02
TCK-1281,Billing,High,Enterprise,Vikram,Pending,2026-02-05 05:00:00,2026-02-10 01:00:00,116.0,Breached,2026-02
TCK-2111,General Inquiry,High,Enterprise,Priya,Open,2026-03-12 10:00:00,2026-03-16 17:00:00,103.0,Breached,2026-03
TCK-1587,Billing,Medium,Smb,Arjun,Pending,2026-06-25 10:00:00,2026-07-03 04:00:00,186.0,Breached,2026-06
TCK-2058,Technical,Medium,Smb,Neha,Resolved,2026-01-21 20:00:00,,,Open,2026-01
TCK-2042,Account Access,Low,Enterprise,Karan,Resolved,2026-03-02 11:00:00,,,Open,2026-03
TCK-1279,Account Access,High,Smb,Priya,Resolved,2026-03-22 03:00:00,2026-03-23 09:00:00,30.0,Within SLA,2026-03
TCK-1453,Account Access,Low,Smb,Sana,Open,2026-05-01 14:00:00,2026-05-02 01:00:00,11.0,Within SLA,2026-05
TCK-1512,Technical,Low,Individual,Karan,Resolved,2026-04-29 22:00:00,2026-05-03 11:00:00,85.0,Within SLA,2026-04
TCK-1066,General Inquiry,Critical,Enterprise,Sana,Open,2026-04-22 05:00:00,2026-04-29 04:00:00,167.0,Breached,2026-04
TCK-1794,Billing,High,Enterprise,Priya,Pending,2026-05-30 07:00:00,2026-06-05 09:00:00,146.0,Breached,2026-05
TCK-1010,Bug Report,Medium,Individual,Sana,Resolved,2026-06-17 15:00:00,2026-06-27 10:00:00,235.0,Breached,2026-06
TCK-1928,Bug Report,Medium,Smb,Riya,Resolved,2026-06-05 15:00:00,,,Open,2026-06
TCK-1054,Technical,High,Smb,Priya,Open,2026-05-19 02:00:00,2026-05-21 14:00:00,60.0,Breached,2026-05
TCK-1351,General Inquiry,High,Smb,Sana,Open,2026-01-14 03:00:00,2026-01-16 04:00:00,49.0,Breached,2026-01
TCK-1217,Account Access,High,Smb,Riya,Open,2026-03-08 12:00:00,2026-03-16 13:00:00,193.0,Breached,2026-03
TCK-2072,Bug Report,Critical,Smb,Sana,Closed,2026-01-18 08:00:00,2026-01-21 13:00:00,77.0,Breached,2026-01
TCK-1481,Technical,High,Enterprise,Riya,Open,2026-04-08 20:00:00,2026-04-11 05:00:00,57.0,Breached,2026-04
TCK-1041,Account Access,High,Smb,Arjun,Resolved,2026-03-26 08:00:00,2026-04-03 14:00:00,198.0,Breached,2026-03
TCK-1173,Technical,Low,Smb,Amit,Resolved,2026-06-21 20:00:00,2026-06-27 08:00:00,132.0,Within SLA,2026-06
TCK-1745,Account Access,High,Enterprise,Neha,Closed,2026-03-22 19:00:00,2026-03-23 12:00:00,17.0,Within SLA,2026-03
TCK-1883,Account Access,Low,Smb,Karan,Open,2026-03-01 08:00:00,2026-03-05 04:00:00,92.0,Within SLA,2026-03
TCK-1084,Billing,High,Individual,Neha,Pending,2026-02-28 21:00:00,2026-03-07 01:00:00,148.0,Breached,2026-02
TCK-1273,Bug Report,High,Enterprise,Karan,Resolved,2026-05-04 11:00:00,2026-05-09 04:00:00,113.0,Breached,2026-05
TCK-1901,Account Access,High,Smb,Karan,Closed,2026-06-28 01:00:00,2026-07-07 08:00:00,223.0,Breached,2026-06
TCK-1892,Bug Report,High,Individual,Karan,Resolved,2026-04-09 06:00:00,2026-04-12 19:00:00,85.0,Breached,2026-04
TCK-1668,Technical,Medium,Individual,Vikram,Resolved,2026-05-02 14:00:00,2026-05-10 09:00:00,187.0,Breached,2026-05
TCK-1417,General Inquiry,High,Smb,Vikram,Closed,2026-07-26 04:00:00,2026-08-01 15:00:00,155.0,Breached,2026-07
TCK-2132,Billing,High,Individual,Arjun,Resolved,2026-05-15 16:00:00,2026-05-17 06:00:00,38.0,Within SLA,2026-05
TCK-1190,Technical,Low,Enterprise,Priya,Resolved,2026-03-03 14:00:00,2026-03-08 10:00:00,116.0,Within SLA,2026-03
TCK-1564,Feature Request,Low,Individual,Vikram,Closed,2026-05-02 04:00:00,2026-05-04 14:00:00,58.0,Within SLA,2026-05
TCK-1879,Billing,Medium,Smb,Amit,Closed,2026-03-10 18:00:00,2026-03-20 14:00:00,236.0,Breached,2026-03
TCK-2166,General Inquiry,Medium,Smb,Amit,Open,2026-03-24 03:00:00,2026-03-28 04:00:00,97.0,Breached,2026-03
TCK-1484,Account Access,Medium,Enterprise,Karan,Pending,2026-02-22 07:00:00,2026-02-24 23:00:00,64.0,Within SLA,2026-02
TCK-2172,Account Access,Low,Smb,Karan,Resolved,2026-02-27 09:00:00,2026-03-02 02:00:00,65.0,Within SLA,2026-02
TCK-1408,Feature Request,Low,Smb,Karan,Resolved,2026-07-10 20:00:00,,,Open,2026-07
TCK-1126,Billing,Low,Enterprise,Arjun,Closed,2026-04-06 04:00:00,2026-04-11 06:00:00,122.0,Within SLA,2026-04
TCK-1055,Feature Request,Low,Enterprise,Priya,Pending,2026-05-19 14:00:00,2026-05-21 19:00:00,53.0,Within SLA,2026-05
TCK-2049,Account Access,Low,Smb,Vikram,Pending,2026-04-19 21:00:00,2026-04-24 18:00:00,117.0,Within SLA,2026-04
TCK-1373,Account Access,Critical,Enterprise,Amit,Open,2026-03-06 19:00:00,2026-03-10 02:00:00,79.0,Breached,2026-03
TCK-1682,General Inquiry,High,Individual,Arjun,Open,2026-02-18 02:00:00,,,Open,2026-02
TCK-1771,Technical,Low,Smb,Amit,Open,2026-06-18 20:00:00,2026-06-19 10:00:00,14.0,Within SLA,2026-06
TCK-1778,Account Access,High,Enterprise,Priya,Resolved,2026-02-03 06:00:00,2026-02-11 20:00:00,206.0,Breached,2026-02
TCK-2011,Billing,High,Smb,Neha,Open,2026-03-27 09:00:00,,,Open,2026-03
TCK-1098,Bug Report,Low,Enterprise,Vikram,Open,2026-06-22 17:00:00,2026-06-26 03:00:00,82.0,Within SLA,2026-06
TCK-1657,Billing,High,Individual,Riya,Resolved,2026-06-27 01:00:00,2026-07-04 17:00:00,184.0,Breached,2026-06
TCK-1229,Technical,Medium,Enterprise,Riya,Pending,2026-07-27 21:00:00,2026-08-05 02:00:00,197.0,Breached,2026-07
TCK-1956,General Inquiry,Medium,Enterprise,Arjun,Open,2026-04-08 18:00:00,2026-04-12 02:00:00,80.0,Within SLA,2026-04
TCK-1535,General Inquiry,Medium,Individual,Unassigned,Closed,2026-07-05 01:00:00,2026-07-11 10:00:00,153.0,Breached,2026-07
TCK-1337,Feature Request,High,Smb,Arjun,Open,2026-05-17 23:00:00,,,Open,2026-05
TCK-1013,Billing,High,Smb,Arjun,Resolved,2026-03-06 17:00:00,2026-03-06 20:00:00,3.0,Within SLA,2026-03
TCK-1458,Billing,Medium,Enterprise,Neha,Closed,2026-05-03 06:00:00,2026-05-10 04:00:00,166.0,Breached,2026-05
TCK-1557,Technical,Critical,Smb,Priya,Open,2026-05-14 21:00:00,2026-05-21 14:00:00,161.0,Breached,2026-05
TCK-1171,Billing,High,Individual,Priya,Closed,2026-06-04 05:00:00,2026-06-07 16:00:00,83.0,Breached,2026-06
TCK-1049,Bug Report,Low,Enterprise,Vikram,Pending,2026-02-27 06:00:00,2026-02-27 18:00:00,12.0,Within SLA,2026-02
TCK-1014,Account Access,Low,Smb,Karan,Open,2026-03-17 13:00:00,2026-03-17 14:00:00,1.0,Within SLA,2026-03
TCK-1644,Billing,High,Smb,Arjun,Resolved,2026-06-24 09:00:00,2026-07-01 03:00:00,162.0,Breached,2026-06
TCK-1574,Account Access,High,Enterprise,Neha,Resolved,2026-07-16 22:00:00,,,Open,2026-07
TCK-2199,General Inquiry,High,Enterprise,Arjun,Resolved,2026-01-05 21:00:00,2026-01-14 23:00:00,218.0,Breached,2026-01
TCK-1604,Billing,High,Enterprise,Neha,Open,2026-04-27 15:00:00,,,Open,2026-04
TCK-1021,Bug Report,Medium,Enterprise,Vikram,Resolved,2026-02-24 17:00:00,2026-03-06 17:00:00,240.0,Breached,2026-02
TCK-1225,Billing,High,Enterprise,Neha,Pending,2026-05-19 01:00:00,2026-05-19 19:00:00,18.0,Within SLA,2026-05
TCK-1573,Account Access,Low,Smb,Neha,Closed,2026-05-21 12:00:00,,,Open,2026-05
TCK-2074,Feature Request,High,Smb,Riya,Resolved,2026-05-02 17:00:00,2026-05-04 11:00:00,42.0,Within SLA,2026-05
TCK-2019,Technical,Low,Enterprise,Amit,Resolved,2026-06-05 08:00:00,2026-06-05 09:00:00,1.0,Within SLA,2026-06
TCK-1714,General Inquiry,Low,Enterprise,Amit,Open,2026-02-25 22:00:00,2026-02-28 23:00:00,73.0,Within SLA,2026-02
TCK-1455,Feature Request,High,Individual,Amit,Resolved,2026-03-06 12:00:00,2026-03-08 22:00:00,58.0,Breached,2026-03
TCK-2189,Feature Request,Low,Enterprise,Riya,Resolved,2026-04-24 01:00:00,2026-04-28 03:00:00,98.0,Within SLA,2026-04
TCK-2187,Billing,Low,Enterprise,Sana,Open,2026-01-10 07:00:00,2026-01-17 06:00:00,167.0,Within SLA,2026-01
TCK-1380,Account Access,High,Enterprise,Vikram,Open,2026-07-05 17:00:00,2026-07-07 16:00:00,47.0,Within SLA,2026-07
TCK-1290,Feature Request,Low,Individual,Arjun,Pending,2026-04-07 14:00:00,,,Open,2026-04
TCK-2127,Billing,Medium,Individual,Neha,Closed,2026-06-08 22:00:00,2026-06-13 03:00:00,101.0,Breached,2026-06
TCK-1018,Technical,High,Individual,Arjun,Pending,2026-05-16 19:00:00,2026-05-19 02:00:00,55.0,Breached,2026-05
TCK-2039,Technical,Medium,Enterprise,Amit,Pending,2026-04-20 23:00:00,2026-04-21 23:00:00,24.0,Within SLA,2026-04
TCK-1432,Bug Report,Low,Individual,Vikram,Open,2026-07-30 11:00:00,2026-08-04 22:00:00,131.0,Within SLA,2026-07
TCK-1596,Account Access,Low,Smb,Vikram,Open,2026-01-12 03:00:00,2026-01-19 04:00:00,169.0,Breached,2026-01
TCK-1856,Billing,High,Enterprise,Unassigned,Pending,2026-01-20 07:00:00,2026-01-23 20:00:00,85.0,Breached,2026-01
TCK-2123,Feature Request,Low,Enterprise,Riya,Pending,2026-05-21 02:00:00,2026-05-23 09:00:00,55.0,Within SLA,2026-05
TCK-1618,Feature Request,Low,Enterprise,Vikram,Resolved,2026-07-29 14:00:00,2026-08-01 00:00:00,58.0,Within SLA,2026-07
TCK-1116,Billing,High,Smb,Riya,Resolved,2026-04-12 08:00:00,2026-04-13 16:00:00,32.0,Within SLA,2026-04
TCK-1998,Account Access,Medium,Enterprise,Sana,Open,2026-02-01 15:00:00,,,Open,2026-02
TCK-1904,Billing,Low,Individual,Neha,Open,2026-03-29 23:00:00,2026-04-01 01:00:00,50.0,Within SLA,2026-03
TCK-1537,Account Access,Low,Smb,Sana,Resolved,2026-01-10 14:00:00,2026-01-12 02:00:00,36.0,Within SLA,2026-01
TCK-1494,General Inquiry,Low,Individual,Priya,Resolved,2026-04-26 23:00:00,2026-04-30 20:00:00,93.0,Within SLA,2026-04
TCK-1158,Account Access,Medium,Enterprise,Arjun,Closed,2026-03-31 00:00:00,2026-04-04 06:00:00,102.0,Breached,2026-03
TCK-1284,Account Access,Low,Enterprise,Amit,Resolved,2026-05-11 03:00:00,2026-05-14 00:00:00,69.0,Within SLA,2026-05
TCK-1490,Bug Report,Medium,Smb,Vikram,Resolved,2026-06-29 11:00:00,2026-07-03 18:00:00,103.0,Breached,2026-06
TCK-1141,Technical,High,Smb,Neha,Resolved,2026-07-06 20:00:00,2026-07-09 09:00:00,61.0,Breached,2026-07
TCK-1923,Technical,Low,Enterprise,Amit,Open,2026-02-02 02:00:00,2026-02-07 23:00:00,141.0,Within SLA,2026-02
TCK-1849,Technical,Medium,Enterprise,Riya,Open,2026-01-24 19:00:00,2026-02-02 10:00:00,207.0,Breached,2026-01
TCK-1814,Feature Request,High,Smb,Sana,Closed,2026-03-19 02:00:00,,,Open,2026-03
TCK-1431,Feature Request,High,Smb,Riya,Resolved,2026-06-24 10:00:00,2026-07-02 22:00:00,204.0,Breached,2026-06
TCK-1965,Technical,Critical,Enterprise,Neha,Resolved,2026-04-03 23:00:00,2026-04-05 02:00:00,27.0,Breached,2026-04
TCK-1588,Bug Report,Low,Individual,Priya,Resolved,2026-05-02 01:00:00,2026-05-07 05:00:00,124.0,Within SLA,2026-05
TCK-1507,Feature Request,Medium,Individual,Vikram,Resolved,2026-03-05 05:00:00,2026-03-12 03:00:00,166.0,Breached,2026-03
TCK-2050,Technical,High,Smb,Riya,Closed,2026-02-10 08:00:00,2026-02-15 22:00:00,134.0,Breached,2026-02
TCK-1532,General Inquiry,High,Smb,Amit,Open,2026-01-27 05:00:00,2026-02-02 02:00:00,141.0,Breached,2026-01
TCK-1165,Account Access,Medium,Enterprise,Arjun,Closed,2026-03-06 23:00:00,,,Open,2026-03
TCK-2021,Technical,High,Smb,Riya,Closed,2026-01-12 17:00:00,2026-01-13 04:00:00,11.0,Within SLA,2026-01
